rank,brand,domain,models,verdict,vendor,network,programme_url,platform,evidence,applied,status
1,Sherpani,sherpani.com,168,in-house:uppromote,uppromote,,,shopify,uppromote marker in homepage source,,
2,Eastpak,us.eastpak.com,160,in-house:uppromote,uppromote,,,shopify,uppromote marker in homepage source,,
3,Zpacks,zpacks.com,120,in-house:affiliatly,affiliatly,,,shopify,affiliatly marker in homepage source,,
4,Alpaka,alpakagear.com,85,in-house:uppromote,uppromote,avantlink,,shopify,uppromote marker in homepage source; avantlink tracking in homepage source,,
5,United by Blue,unitedbyblue.com,80,in-house:uppromote,uppromote,avantlink,,shopify,uppromote marker in homepage source; avantlink tracking in homepage source,,
6,Caribee,caribee.com,68,in-house:shopify-collabs,shopify-collabs,,https://caribee.com/pages/caribee-ambassador-program,shopify,programme page https://caribee.com/pages/caribee-ambassador-program; shopify-collabs marker on programme page,,
7,Grams,grams28.com,67,in-house:goaffpro,goaffpro,shareasale,,shopify,goaffpro marker in homepage source; shareasale tracking in homepage source,,
8,Black Ember,blackember.com,55,in-house:refersion,refersion,,,shopify,refersion marker in homepage source,,
9,Trakke,trakke.co.uk,26,in-house:refersion,refersion,,https://trakke.co.uk/pages/affiliates,shopify,refersion marker in homepage source; programme page https://trakke.co.uk/pages/affiliates; refersion marker on programme page,,
10,Millican,homeofmillican.com,23,in-house:goaffpro,goaffpro,,,shopify,goaffpro marker in homepage source,,
11,CabinZero,cabinzero.com,22,in-house:uppromote,uppromote,,https://www.cabinzero.com/pages/affiliates,shopify,uppromote marker in homepage source; programme page https://www.cabinzero.com/pages/affiliates; uppromote marker on programme page,,
12,Brevite,brevite.co,13,in-house:refersion,refersion,shareasale,,shopify,refersion marker in homepage source; shareasale tracking in homepage source,,
13,Black Voyage,blackvoyage.com,12,in-house:uppromote,uppromote,,,shopify,uppromote marker in homepage source,,
14,Zorali,zorali.com,11,in-house:social-snowball,social-snowball,,https://www.zorali.com/pages/affiliate-program,shopify,social-snowball marker in homepage source; programme page https://www.zorali.com/pages/affiliate-program; social-snowball marker on programme page,,
15,The Brown Buffalo,thebrownbuffalo.com,10,in-house:social-snowball,social-snowball,avantlink,,shopify,social-snowball marker in homepage source; avantlink tracking in homepage source,,
16,Modern Dayfarer,moderndayfarer.com,10,in-house:refersion,refersion,,https://moderndayfarer.com/pages/affiliates,shopify,refersion marker in homepage source; programme page https://moderndayfarer.com/pages/affiliates; refersion marker on programme page,,
17,Able Carry,ablecarry.com,8,in-house:uppromote,uppromote,,,shopify,uppromote marker in homepage source,,
18,Code of Bell,codeofbell.com,8,in-house:refersion,refersion,,,shopify,refersion marker in homepage source,,
19,Minaal,minaal.com,6,in-house:refersion,refersion,,,shopify,refersion marker in homepage source,,
20,Attitude Supply,attitudesupply.com,6,in-house:goaffpro,goaffpro,,https://atdsupply.com/pages/affiliate-program,shopify,goaffpro marker in homepage source; programme page https://atdsupply.com/pages/affiliate-program; goaffpro marker on programme page,,
21,Rework Gear,reworkgear.com,5,in-house:uppromote,uppromote,,,shopify,uppromote marker in homepage source,,
22,Arktype,arktypedesign.com,2,in-house:refersion,refersion,,,shopify,refersion marker in homepage source,,
23,Durston Gear,durstongear.com,0,in-house:uppromote,uppromote,,,shopify,uppromote marker in homepage source,,
24,Greenroom,greenroom136.com,0,in-house:refersion,refersion,,,unknown,refersion marker in homepage source,,
25,Haize Project,haizeproject.com,0,in-house:goaffpro,goaffpro,,,shopify,goaffpro marker in homepage source,,
26,Cotopaxi,cotopaxi.com,148,page-only,,,https://www.cotopaxi.com/pages/do-good-ambassadors,shopify,programme page https://www.cotopaxi.com/pages/do-good-ambassadors; no vendor identified — needs a look,,
27,CALPAK,calpaktravel.com,108,page-only,,,https://www.calpaktravel.com/pages/affiliate-program,shopify,programme page https://www.calpaktravel.com/pages/affiliate-program; no vendor identified — needs a look,,
28,Peak Design,peakdesign.com,69,page-only,,,https://www.peakdesign.com/pages/brand-ambassadors,shopify,programme page https://www.peakdesign.com/pages/brand-ambassadors; no vendor identified — needs a look,,
29,Hyperlite Mountain Gear,hyperlitemountaingear.com,40,page-only,,,https://hyperlitemountaingear.com/pages/hyperlite-mountain-gear-affiliate-program,shopify,programme page https://hyperlitemountaingear.com/pages/hyperlite-mountain-gear-affiliate-program; no vendor identified — needs a look,,
30,Burton,burton.com,28,page-only,,,https://www.burton.com/en-us/pages/affiliate-program,shopify,programme page https://www.burton.com/en-us/pages/affiliate-program; no vendor identified — needs a look,,
31,Hynes Eagle,hyneseagle.com,28,page-only,,,https://www.hyneseagle.com/pages/wholesale-affiliate-programs,shopify,programme page https://www.hyneseagle.com/pages/wholesale-affiliate-programs; no vendor identified — needs a look,,
32,Corsurf,corsurf.com,20,page-only,,,https://www.corsurf.com/blogs/news/cor-surf-brand-ambassador-program,shopify,programme page https://www.corsurf.com/blogs/news/cor-surf-brand-ambassador-program; no vendor identified — needs a look,,
33,3FUL Gear,3fulgear.com,10,page-only,,,https://3fulgear.com/affiliate-registration/,woocommerce,programme page https://3fulgear.com/affiliate-registration/; no vendor identified — needs a look,,
34,Avio Gear,aviotravel.com,2,page-only,,,https://aviotravel.com/pages/ambassador-program,shopify,programme page https://aviotravel.com/pages/ambassador-program; no vendor identified — needs a look,,
35,Graphene-x,graphene-x.com,2,page-only,,,https://www.graphene-x.com/affiliates,shopify,programme page https://www.graphene-x.com/affiliates; no vendor identified — needs a look,,
36,Mystery Ranch,www.mysteryranch.com,0,page-only,,,https://www.mysteryranch.com/ambassadors,unknown,programme page https://www.mysteryranch.com/ambassadors; no vendor identified — needs a look,,
37,Craghoppers,craghoppers.com,0,page-only,,,https://www.craghoppers.com/affiliates/,unknown,programme page https://www.craghoppers.com/affiliates/; no vendor identified — needs a look,,
38,Mystery Ranch,mysteryranch.com,0,page-only,,,https://www.mysteryranch.com/ambassadors,unknown,programme page https://www.mysteryranch.com/ambassadors; no vendor identified — needs a look,,
39,Dagne Dover,dagnedover.com,226,network:pepperjam,,pepperjam,,shopify,pepperjam tracking in homepage source,,
40,Bagsmart,bagsmart.com,137,network:shareasale,,shareasale,https://www.bagsmart.com/pages/affiliate-program,shopify,shareasale tracking in homepage source; programme page https://www.bagsmart.com/pages/affiliate-program; shareasale named on programme page,,
41,Lo & Sons,loandsons.com,123,network:impact,,impact,https://www.loandsons.com/pages/affiliate-sign-up,shopify,programme page https://www.loandsons.com/pages/affiliate-sign-up; impact named on programme page,,
42,Tom Bihn,tombihn.com,116,network:awin,,awin,,shopify,awin tracking in homepage source,,
43,Aer,aersf.com,98,network:awin,,awin,,shopify,awin tracking in homepage source,,
44,Timbuk2,timbuk2.com,82,network:pepperjam,,pepperjam,,shopify,pepperjam tracking in homepage source,,
45,Pacsafe,pacsafe.com,75,network:avantlink,,avantlink,https://pacsafe.com/pages/pacsafe-affiliate-program,shopify,avantlink tracking in homepage source; programme page https://pacsafe.com/pages/pacsafe-affiliate-program; avantlink named on programme page,,
46,Topo Designs,topodesigns.com,74,network:avantlink,,avantlink,https://topodesigns.com/pages/affiliates,shopify,avantlink tracking in homepage source; programme page https://topodesigns.com/pages/affiliates; avantlink named on programme page,,
47,Ortlieb,us.ortlieb.com,67,network:avantlink,,avantlink,https://us.ortlieb.com/pages/sponsoring-athletes,shopify,avantlink tracking in homepage source; programme page https://us.ortlieb.com/pages/sponsoring-athletes; avantlink named on programme page,,
48,Inside Line Equipment,ilequipment.com,66,network:avantlink,,avantlink,,shopify,avantlink tracking in homepage source,,
49,Kifaru,kifaru.net,61,network:avantlink,,avantlink,https://kifaru.net/pages/affiliate-program,shopify,avantlink tracking in homepage source; programme page https://kifaru.net/pages/affiliate-program; avantlink named on programme page,,
50,Troubadour,troubadour.myshopify.com,59,network:awin,,awin,https://checkout.troubadourgoods.com/pages/affiliates,shopify,programme page https://checkout.troubadourgoods.com/pages/affiliates; awin named on programme page,,
51,Knack Bags,knackbags.com,55,network:impact,,impact,https://knackbags.com/pages/knack-affiliate-program,shopify,impact tracking in homepage source; programme page https://knackbags.com/pages/knack-affiliate-program; impact named on programme page,,
52,ULA Equipment,ula-equipment.com,54,network:impact,,impact,,woocommerce,impact tracking in homepage source,,
53,Heimplanet,heimplanet.com,52,network:avantlink,,avantlink,https://heimplanet.com/pages/ambassador,shopify,avantlink tracking in homepage source; programme page https://heimplanet.com/pages/ambassador; avantlink named on programme page,,
54,Vertx,vertx.com,49,network:shareasale,,shareasale,,shopify,shareasale tracking in homepage source,,
