name,domain,platform,best_guess,why_unsure,search
Bellroy,bellroy.com,custom,bellroy.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Bellroy+bags+official+site
Osprey,osprey.com,custom,osprey.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Osprey+bags+official+site
The North Face,thenorthface.com,custom,thenorthface.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=The+North+Face+bags+official+site
Tom Bihn,tombihn.com,shopify,tombihn.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Tom+Bihn+bags+official+site
Alpha One-Niner,alphaoneniner.com,shopify,alphaoneniner.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Alpha+One-Niner+bags+official+site
Arc'teryx,arcteryx.com,custom,arcteryx.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Arc%27teryx+bags+official+site
Black Ember,blackember.com,shopify,blackember.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Black+Ember+bags+official+site
Code of Bell,codeofbell.com,shopify,codeofbell.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Code+of+Bell+bags+official+site
Fjallraven,fjallraven.com,custom,fjallraven.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Fjallraven+bags+official+site
Gregory,gregory.com,custom,gregory.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Gregory+bags+official+site
Inside Line Equipment,ilequipment.com,shopify,,no candidate resolved in DNS,https://duckduckgo.com/?q=Inside+Line+Equipment+bags+official+site
JanSport,jansport.com,shopify,jansport.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=JanSport+bags+official+site
Mystery Ranch,mysteryranch.com,custom,mysteryranch.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Mystery+Ranch+bags+official+site
Peak Design,peakdesign.com,shopify,peakdesign.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Peak+Design+bags+official+site
3FULGear,3fulgear.com,woocommerce,3fulgear.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=3FULGear+bags+official+site
5.11 Tactical,511tactical.com,custom,511tactical.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=5.11+Tactical+bags+official+site
Airback,airback.us,shopify,airback.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Airback+bags+official+site
Alchemy Equipment,alchemy-equipment.com,shopify,alchemyequipment.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Alchemy+Equipment+bags+official+site
Almond Oak,almondoak.com,shopify,almondoak.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Almond+Oak+bags+official+site
Alpine Sea,alpinesea.com,shopify,alpinesea.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Alpine+Sea+bags+official+site
ANONYM CRAFTSMAN DESIGN,,,,no candidate resolved in DNS,https://duckduckgo.com/?q=ANONYM+CRAFTSMAN+DESIGN+bags+official+site
Arcido,arcido.com,shopify,arcido.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Arcido+bags+official+site
Arktype,arktypedesign.com,shopify,arktype.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Arktype+bags+official+site
Attitude Supply,attitudesupply.com,shopify,attitudesupply.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Attitude+Supply+bags+official+site
Avio Gear,aviotravel.com,shopify,aviogear.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Avio+Gear+bags+official+site
Away,awaytravel.com,shopify,away.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Away+bags+official+site
Baggu,baggu.com,custom,baggu.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Baggu+bags+official+site
Bagsmart,bagsmart.com,shopify,bagsmart.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Bagsmart+bags+official+site
Bedouin Foundry,bedouinfoundry.com,shopify,bedouinfoundry.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Bedouin+Foundry+bags+official+site
Black Voyage,blackvoyage.com,shopify,blackvoyage.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Black+Voyage+bags+official+site
Burton,burton.com,shopify,burton.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Burton+bags+official+site
Cabelas,cabelas.com,custom,cabelas.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Cabelas+bags+official+site
CabinZero,cabinzero.com,shopify,cabinzero.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=CabinZero+bags+official+site
CamelBak,camelbak.com,custom,camelbak.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=CamelBak+bags+official+site
Caribee,caribee.com,shopify,caribee.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Caribee+bags+official+site
Corsurf,corsurf.com,shopify,corsurf.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Corsurf+bags+official+site
Craghoppers,craghoppers.com,custom,craghoppers.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Craghoppers+bags+official+site
Dakine,dakine.com,shopify,dakine.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Dakine+bags+official+site
Day Owl,dayowl.com,custom,dayowl.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Day+Owl+bags+official+site
DEFY,defybags.com,shopify,defy.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=DEFY+bags+official+site
Deuter,deuter.com,custom,deuter.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Deuter+bags+official+site
dyborg,,,,no candidate resolved in DNS,https://duckduckgo.com/?q=dyborg+bags+official+site
Eagle Creek,eaglecreek.com,shopify,eaglecreek.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Eagle+Creek+bags+official+site
Eastpak,us.eastpak.com,shopify,eastpak.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Eastpak+bags+official+site
eBags,ebagsbrand.com,custom,ebags.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=eBags+bags+official+site
Ecohub,ecohubtravel.com,shopify,ecohub.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Ecohub+bags+official+site
Everyman,everyman.co,custom,everyman.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Everyman+bags+official+site
Exped,exped.com,custom,exped.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Exped+bags+official+site
FHF Gear,fhfgear.com,shopify,fhfgear.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=FHF+Gear+bags+official+site
Filson,filson.com,shopify,filson.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Filson+bags+official+site
Forclaz,decathlon.com,shopify,forclaz.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Forclaz+bags+official+site
Fredrik Packers,fredrikpackers.com,unreachable,fredrikpackers.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Fredrik+Packers+bags+official+site
Fuller Foundry,,unreachable,fullerfoundry.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Fuller+Foundry+bags+official+site
Fyro,fyro.co,shopify,fyro.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Fyro+bags+official+site
Grams,grams28.com,shopify,grams.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Grams+bags+official+site
Graphene-x,graphene-x.com,shopify,graphenex.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Graphene-x+bags+official+site
Greenroom,greenroom136.com,custom,greenroom.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Greenroom+bags+official+site
Haize Project,haizeproject.com,shopify,haizeproject.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Haize+Project+bags+official+site
Hanchor,hanchor.com,custom,hanchor.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Hanchor+bags+official+site
HikePro,,custom,hikepro.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=HikePro+bags+official+site
Hill People Gear,hillpeoplegear.com,custom,hillpeoplegear.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Hill+People+Gear+bags+official+site
Homiee,homieebackpack.com,custom,homiee.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Homiee+bags+official+site
Hynes Eagle,hyneseagle.com,shopify,hyneseagle.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Hynes+Eagle+bags+official+site
Ikea,ikea.com,custom,ikea.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Ikea+bags+official+site
Incase,incase.com,shopify,incase.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Incase+bags+official+site
Kathmandu,kathmanduoutdoor.com,shopify,kathmandu.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Kathmandu+bags+official+site
Kifaru,kifaru.net,shopify,kifaru.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Kifaru+bags+official+site
Kipling,kipling.com,shopify,kipling.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Kipling+bags+official+site
Klättermusen,klattermusen.com,custom,,no candidate resolved in DNS,https://duckduckgo.com/?q=Kl%C3%A4ttermusen+bags+official+site
Knack Bags,knackbags.com,shopify,knackbags.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Knack+Bags+bags+official+site
KS Ultralight,,,,no candidate resolved in DNS,https://duckduckgo.com/?q=KS+Ultralight+bags+official+site
L.L.Bean,llbean.com,custom,llbean.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=L.L.Bean+bags+official+site
Lowe,,custom,lowe.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Lowe+bags+official+site
Mammut,mammut.com,custom,mammut.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Mammut+bags+official+site
MEC,mec.ca,custom,mec.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=MEC+bags+official+site
Minaal,minaal.com,shopify,minaal.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Minaal+bags+official+site
Ministry of Supply,ministryofsupply.com,shopify,ministryofsupply.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Ministry+of+Supply+bags+official+site
Mismo,mismo.dk,shopify,mismo.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Mismo+bags+official+site
Mixed Works,mixedworks.com,custom,mixedworks.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Mixed+Works+bags+official+site
Modern Dayfarer,moderndayfarer.com,shopify,moderndayfarer.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Modern+Dayfarer+bags+official+site
Mountainsmith,mountainsmith.com,shopify,mountainsmith.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Mountainsmith+bags+official+site
Nemo Equipment,nemoequipment.com,shopify,nemoequipment.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Nemo+Equipment+bags+official+site
Nike,nike.com,custom,nike.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Nike+bags+official+site
